Aisa_Order,person_name,ig_name,ig_id,ig_strong_id,done,posts,Followers,Following,ig_url,ig_url ig_private,ig_notSure_notFound,ig_repeat,category,followers,Top200新增
86,Gary蓋瑞,Gary蓋瑞,gary.0917,,,,,,https://www.instagram.com/gary.0917/,,,,遊戲電玩,"872,819",1
87,Jason-Chen-陳以桐,Jason Chen 陳以桐,jasondchen,32527641,1,,,,https://www.instagram.com/jasondchen/,,,,表演藝術,"5,827,634",
88,台灣妞韓國媳,Taiwanniu,taiwanniu421,,,,,,https://www.instagram.com/taiwanniu421/,,,,"美妝保養,旅遊,帶貨分潤","1,211,490",1
89,cheap-鄭才暐,鄭才暐,cheapaoe,,1,,,,https://www.instagram.com/cheapaoe/,,,,"遊戲電玩,時事討論","1,819,617",1
90,王宏哲教養、育兒寶典,王宏哲教養育兒寶典,wanghungche,,,,,,https://www.instagram.com/wanghungche/,,,,"家庭母嬰,知識教育,高階經理人","1,982,132",1
91,小葵-XiaoKui,小葵 XiaoKui,miao11255,1673522323,g,1359,17.7萬,765,https://www.instagram.com/miao11255/,,,,遊戲電玩,"734,186",
92,High咖-邱志恒,✨High咖-邱志恒✨嗨咖,children0704,,,,,,https://www.instagram.com/children0704/,,,,趣味搞笑,"814,167",1
93,Lobo-蘿蔔 ,Lobo蘿蔔,lobo_is_good,,,,,,https://www.instagram.com/lobo_is_good/,,,,遊戲電玩,"639,131",1
94,黃小米-Mii,黃小米 Mii,lovemiihuang,,,,,,https://www.instagram.com/lovemiihuang/,,,,"美妝保養,時尚潮流,旅遊","1,004,034",1
95,鼻妹的廢話亂畫,鼻妹 Bimay,bimay_nagging,,,,,,https://www.instagram.com/bimay_nagging/,,,,"表演藝術,趣味搞笑","829,503",1
96,Sandy-珊迪,Sandykaka 珊迪,sandykaka_,2620202,1,3268,29萬,477,https://www.instagram.com/sandykaka_/,,,,"美食料理,寵物,遊戲電玩","908,108",
97,魔術Channel---Davio,🎩Davio🎩,davio_magic,3025123501,g,2068,35.3萬,674,https://www.instagram.com/davio_magic/,,,,表演藝術,"1,023,344",
98,可可酒精,可可酒精,cocowine0205,,,,,,https://www.instagram.com/cocowine0205/,,,,"美食料理,趣味搞笑","853,725",1
99,吃貨豪豪,方建豪,martinispig,,,,,,https://www.instagram.com/martinispig/,,,,美食料理,"1,005,714",1
100,電瀨少女-女孩的科技日常,電獺少女,aottergirls,1918317716,1,,,,https://www.instagram.com/aottergirls/,,,,3C科技,"1,696,911",
101,恩熙俊-aka-MC-Jeng,MC Jeng Su,jengsu,,,,,,https://www.instagram.com/jengsu/,,,,美食料理,"955,113",1
102,崔&雪莉&Jon,雪莉shirley,shirley_01_12,,,,,,https://www.instagram.com/shirley_01_12/,,,,影視評論,"1,558,731",1
